Region,EC votes,2016 Estimate,2010 Census,Rural population,Urban population
Alabama,9,4863300,4779736,1957932,2821804
Alaska,3,741894,710231,241338,468893
Arizona,11,6931071,6392017,651358,5740659
Arkansas,6,2988248,2915918,1278329,1637589
California,55,39250017,37253956,1880350,35373606
Colorado,9,5540545,5029196,696435,4332761
Connecticut,7,3576452,3574097,429155,3144942
Delaware,3,952065,897934,149985,747949
District of Columbia,3,681170,601723,0,601723
Florida,29,20612439,18801310,1661466,17139844
Georgia,16,10310371,9687653,2415502,7272151
Hawaii,4,1428557,1360301,109812,1250489
Idaho,4,1683140,1567582,461212,1106370
Illinois,20,12801539,12830632,1477079,11353553
Indiana,11,6633053,6483802,1786702,4697100
Iowa,6,3134693,3046355,1096099,1950256
Kansas,6,2907289,2853118,736157,2116961
Kentucky,8,4436974,4339367,1806024,2533343
Louisiana,8,4681666,4533372,1215567,3317805
Maine,4,1331479,1328361,814819,513542
Maryland,10,6016447,5773552,739221,5034331
Massachusetts,11,6811779,6547629,525640,6021989
Michigan,16,9928301,9883640,2513683,7369957
Minnesota,10,5519952,5303925,1417614,3886311
Mississippi,6,2988726,2967297,1503073,1464224
Missouri,10,6093000,5988927,1770556,4218371
Montana,3,1042520,989415,436401,553014
Nebraska,5,1907116,1826341,490655,1335686
Nevada,6,2940058,2700551,156754,2543797
New Hampshire,4,1334795,1316470,522598,793872
New Jersey,14,8944469,8791894,467768,8324126
New Mexico,5,2081015,2059179,464818,1594361
New York,29,19745289,19378102,2349997,17028105
North Carolina,15,10146788,9535483,3233727,6301756
North Dakota,3,757952,672591,269719,402872
Ohio,18,11614373,11536504,2546810,8989694
Oklahoma,7,3923561,3751351,1266322,2485029
Oregon,7,4093465,3831074,726692,3104382
Pennsylvania,20,12802503,12702379,2711092,9991287
Rhode Island,4,1056426,1052567,97524,955043
South Carolina,9,4961119,4625364,1557555,3067809
South Dakota,3,865454,814180,352933,461247
Tennessee,11,6651194,6346105,2132860,4213245
Texas,38,27862596,25145561,3847522,21298039
Utah,6,3051217,2763885,260290,2503595
Vermont,3,624594,625741,382356,243385
Virginia,13,8411808,8001024,1963930,6037094
Washington,12,7288000,6724540,1072671,5651869
West Virginia,5,1831102,1852994,950184,902810
Wisconsin,10,5778708,5686986,1697348,3989638
Wyoming,3,585501,563626,198633,364993
